catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
copper,contraceptives,,,,rx_contraceptives_table
benzonatate,cough/cold/allergy,antitussives,antitussive - nonnarcotic,benzonatate,rx_coughcold_table
dextromethorphan,cough/cold/allergy,antitussives,antitussive - nonnarcotic,dextromethorphan hbr,rx_coughcold_table
dextromethorphan hbr,cough/cold/allergy,antitussives,antitussive - nonnarcotic,dextromethorphan hbr,rx_coughcold_table
dextromethorphan,cough/cold/allergy,antitussives,antitussive - nonnarcotic,dextromethorphan polistirex,rx_coughcold_table
dextromethorphan polistirex,cough/cold/allergy,antitussives,antitussive - nonnarcotic,dextromethorphan polistirex,rx_coughcold_table
hydrocodone,cough/cold/allergy,antitussives,antitussive - opioid,hydrocodone bitartrate,rx_coughcold_table
homatropine-hydrocodone,cough/cold/allergy,antitussives,antitussive - opioid,hydrocodone-homatropine,rx_coughcold_table
hydrocodone-homatropine,cough/cold/allergy,antitussives,antitussive - opioid,hydrocodone-homatropine,rx_coughcold_table
acetaminophen-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,analgesic-expectorant,acetaminophen-guaifenesin,rx_coughcold_table
acetaminophen-chlorpheniramine,cough/cold/allergy,cough/cold/allergy combinations,antihistamine-analgesics,chlorpheniramine-acetaminophen,rx_coughcold_table
chlorpheniramine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antihistamine-analgesics,chlorpheniramine-acetaminophen,rx_coughcold_table
dexbromphen-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antihistamine-analgesics,dexbromphen-acetaminophen,rx_coughcold_table
diphenhydramine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antihistamine-analgesics,diphenhydramine-acetaminophen,rx_coughcold_table
dm-apap-cpm,cough/cold/allergy,cough/cold/allergy combinations,antitussive-antihistamine-analgesic,dm-apap-cpm,rx_coughcold_table
dm-diphenhydramine-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-antihistamine-analgesic,dm-diphenhydramine-apap,rx_coughcold_table
apap/dextromethorphan/doxylamine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-antihistamine-analgesic,dm-doxylamine-acetaminophen,rx_coughcold_table
dm-doxylamine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antitussive-antihistamine-analgesic,dm-doxylamine-acetaminophen,rx_coughcold_table
chlophedianol-pyrilamine-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-antihistamine-analgesic,,rx_coughcold_table
apap/dextromethorphan/phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-decongestant-analgesic,dm-phenylephrine-acetaminophen,rx_coughcold_table
dm-phenylephrine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antitussive-decongestant-analgesic,dm-phenylephrine-acetaminophen,rx_coughcold_table
apap/dextromethorphan/pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-decongestant-analgesic,pseudoephedrine-apap-dm,rx_coughcold_table
pseudoephedrine-apap-dm,cough/cold/allergy,cough/cold/allergy combinations,antitussive-decongestant-analgesic,pseudoephedrine-apap-dm,rx_coughcold_table
carbetapentane-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,carbetapentane-guaifenesin,rx_coughcold_table
dextromethorphan-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,dextromethorphan-guaifenesin,rx_coughcold_table
dextromethorphan-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,dextromethorphan-guaifenesin,rx_coughcold_table
dm-gg-pot citrate-citric acid,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,dm-gg-pot citrate-citric acid,rx_coughcold_table
dm-gg-potassium citrate,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,dm-gg-potassium citrate,rx_coughcold_table
dextromethorphan-potassium guaiacolsulfonate,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,dm-pot guaiacolsulfonate,rx_coughcold_table
codeine-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,guaifenesin-codeine,rx_coughcold_table
guaifenesin-codeine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,guaifenesin-codeine,rx_coughcold_table
hydrocodone-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant,,rx_coughcold_table
dm-gg-chlorphen-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - antihist-analgesic,dm-gg-chlorphen-acetaminophen,rx_coughcold_table
apap/dextromethorphan/guaifenesin/pe,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-analgesic,phenylephrine-dm-gg-apap,rx_coughcold_table
phenylephrine-dm-gg-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-analgesic,phenylephrine-dm-gg-apap,rx_coughcold_table
apap/dextromethorphan/guaifenesin/pse,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-analgesic,pseudoephedrine-dm-gg-apap,rx_coughcold_table
pseudoephedrine-dm-gg-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-analgesic,pseudoephedrine-dm-gg-apap,rx_coughcold_table
chlorpheniramine/dm/guaifenesin/phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-antihist,pe-cpm-dm-gg,rx_coughcold_table
phenylephrine-diphenhyd-dm-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-antihist,phenylephrine-diphenhyd-dm-gg,rx_coughcold_table
pe-diphenhydramine-dm-gg-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-antihist-analg,pe-diphenhydramine-dm-gg-apap,rx_coughcold_table
pe-cpm-dm-gg-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-antihist-analg,,rx_coughcold_table
pe-doxylamine-dm-gg-apap,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorant - decongest-antihist-analg,,rx_coughcold_table
dextromethorphan/guaifenesin/phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,phenylephrine-dm-gg,rx_coughcold_table
phenylephrine-dm-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,phenylephrine-dm-gg,rx_coughcold_table
codeine/guaifenesin/pse,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,pseudoephedrine-codeine-gg,rx_coughcold_table
pseudoephedrine-codeine-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,pseudoephedrine-codeine-gg,rx_coughcold_table
dextromethorphan/guaifenesin/pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,pseudoephedrine-dm-gg,rx_coughcold_table
pseudoephedrine-dm-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,pseudoephedrine-dm-gg,rx_coughcold_table
pseudophed-chlophedianol-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,pseudophed-chlophedianol-gg,rx_coughcold_table
pseudoeph-hydrocodone-gg,cough/cold/allergy,cough/cold/allergy combinations,antitussive-expectorants-decongestant,,rx_coughcold_table
acrivastine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,acrivastine-pseudoephedrine,rx_coughcold_table
brompheniramine-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,brompheniramine-phenylephrine,rx_coughcold_table
brompheniramine-pseudoeph,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,brompheniramine-pseudoeph,rx_coughcold_table
brompheniramine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,brompheniramine-pseudoeph,rx_coughcold_table
cetirizine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,cetirizine-pseudoephedrine,rx_coughcold_table
p-ephed hcl-cetirizine hcl,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,cetirizine-pseudoephedrine,rx_coughcold_table
chlorpheniramine-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,chlorphen tan-phenyleph tan,rx_coughcold_table
phenylephrine/chlorpheniramine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,chlorphen tan-phenyleph tan,rx_coughcold_table
chlorpheniramine-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,chlorpheniramine-phenylephrine,rx_coughcold_table
chlorpheniramine-pseudoeph,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,chlorpheniramine-pseudoeph,rx_coughcold_table
chlorpheniramine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,chlorpheniramine-pseudoeph,rx_coughcold_table
desloratadine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,desloratadine-pseudoephedrine,rx_coughcold_table
dexbrompheniramine-phenyleph,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,dexbrompheniramine-phenyleph,rx_coughcold_table
dexbrompheniramine-pseudoeph,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,dexbrompheniramine-pseudoeph,rx_coughcold_table
dexbrompheniramine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,dexbrompheniramine-pseudoeph,rx_coughcold_table
dexchlorpheniramine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,dexchlorphen tan-pse tan,rx_coughcold_table
dexchlorphen-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,dexchlorphen-pseudoephedrine,rx_coughcold_table
diphenhydramine-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,diphenhydramine-phenylephrine,rx_coughcold_table
diphenhydramine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,diphenhydramine-pseudoephed,rx_coughcold_table
fexofenadine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,fexofenadine-pseudoephedrine,rx_coughcold_table
loratadine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,loratadine-pseudoephedrine,rx_coughcold_table
phenylephrine-promethazine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,promethazine-phenylephrine,rx_coughcold_table
promethazine-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,promethazine-phenylephrine,rx_coughcold_table
phenylephrine-pyrilamine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,pyrilamine tan-phenyleph tan,rx_coughcold_table
pseudoephedrine-triprolidine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,triprolidine-pseudoephedrine,rx_coughcold_table
triprolidine-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant & antihistamine,triprolidine-pseudoephedrine,rx_coughcold_table
ephedrine-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,ephedrine-guaifenesin,rx_coughcold_table
guaifenesin-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,phenylephrine-guaifenesin,rx_coughcold_table
phenylephrine-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,phenylephrine-guaifenesin,rx_coughcold_table
zzzguaifenesin/phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,phenylephrine-guaifenesin,rx_coughcold_table
guaifenesin-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,pseudoephedrine-guaifenesin,rx_coughcold_table
pseudoephedrine-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,decongestant w/ expectorant,pseudoephedrine-guaifenesin,rx_coughcold_table
acetaminophen-phenylephrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,phenylephrine-acetaminophen,rx_coughcold_table
phenylephrine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,phenylephrine-acetaminophen,rx_coughcold_table
phenylephrine-aspirin,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,phenylephrine-aspirin,rx_coughcold_table
phenylephrine-ibuprofen,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,phenylephrine-ibuprofen,rx_coughcold_table
acetaminophen-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-acetaminophen,rx_coughcold_table
pseudoephedrine-acetaminophen,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-acetaminophen,rx_coughcold_table
ibuprofen-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-ibuprofen,rx_coughcold_table
pseudoephedrine-ibuprofen,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-ibuprofen,rx_coughcold_table
naproxen-pseudoephedrine,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-naproxen na,rx_coughcold_table
pseudoephedrine-naproxen na,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic,pseudoephedrine-naproxen na,rx_coughcold_table
phenylephrine-apap-guaifenesin,cough/cold/allergy,cough/cold/allergy combinations,decongestant-analgesic-expectorant,phenylephrine-apap-guaifenesin,rx_coughcold_table
chlorphen-diphenhyd-pe-apap,cough/cold/allergy,cough/cold/allergy combinations,decongestant-antihistamine-analgesic,chlorphen-diphenhyd-pe-apap,rx_coughcold_table
